FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,WHH,WHD,WHA
1.0,1.0,D,1.0,1.0,D,1.66,3.4,4.5,1.66,3.3,4.5
2.0,0.0,H,0.0,0.0,D,1.9,3.25,3.5,1.83,3.3,3.6
1.0,2.0,A,1.0,1.0,D,1.5,3.5,6.0,1.44,3.6,6.5
0.0,2.0,A,0.0,2.0,A,4.0,3.25,1.8,3.75,3.3,1.8
1.0,3.0,A,0.0,3.0,A,2.4,3.2,2.6,2.5,3.1,2.5
3.0,0.0,H,2.0,0.0,H,2.2,3.25,2.8,2.1,3.3,2.87
0.0,3.0,A,0.0,2.0,A,3.25,3.25,2.0,3.4,3.25,1.9
0.0,1.0,A,0.0,0.0,D,6.5,3.75,1.444,7.0,3.5,1.44
1.0,3.0,A,0.0,1.0,A,4.0,3.25,1.8,3.75,3.2,1.83
1.0,0.0,H,1.0,0.0,H,2.2,3.25,2.8,2.1,3.2,3.0
2.0,1.0,H,1.0,0.0,H,2.25,3.25,2.75,2.3,3.2,2.62
2.0,1.0,H,2.0,1.0,H,2.25,3.25,2.75,2.3,3.2,2.62
1.0,0.0,H,1.0,0.0,H,1.727,3.5,4.0,1.8,3.3,3.75
1.0,1.0,D,0.0,1.0,A,1.444,3.75,6.5,1.44,3.6,6.5
4.0,1.0,H,2.0,1.0,H,1.5,3.5,6.0,1.4,3.6,7.5
1.0,1.0,D,0.0,1.0,A,2.3,3.2,2.7,2.25,3.2,2.75
1.0,1.0,D,1.0,0.0,H,1.4,3.75,7.5,1.44,3.6,6.5
1.0,1.0,D,0.0,1.0,A,2.625,3.2,2.375,2.62,3.2,2.3
3.0,0.0,H,0.0,0.0,D,1.727,3.25,4.333,1.61,3.3,5.0
1.0,1.0,D,0.0,0.0,D,5.5,3.5,1.533,5.5,3.4,1.53
3.0,0.0,H,0.0,0.0,D,2.1,3.25,3.0,1.9,3.2,3.5
1.0,2.0,A,0.0,0.0,D,1.533,3.5,5.5,1.53,3.4,5.5
2.0,1.0,H,0.0,1.0,A,1.833,3.25,3.75,1.9,3.2,3.5
0.0,3.0,A,0.0,1.0,A,2.5,3.2,2.5,2.5,3.25,2.4
1.0,5.0,A,0.0,4.0,A,4.333,3.25,1.727,4.2,3.25,1.72
1.0,3.0,A,0.0,2.0,A,2.5,3.0,2.625,2.5,3.1,2.5
2.0,1.0,H,1.0,0.0,H,3.75,3.25,1.833,3.75,3.2,1.83
1.0,2.0,A,0.0,1.0,A,2.375,3.2,2.625,2.4,3.1,2.6
1.0,1.0,D,1.0,1.0,D,1.727,3.25,4.333,1.61,3.3,5.0
1.0,0.0,H,1.0,0.0,H,1.909,3.25,3.5,1.9,3.2,3.5
1.0,0.0,H,0.0,0.0,D,1.615,3.4,5.0,1.57,3.5,5.0
1.0,1.0,D,0.0,1.0,A,2.25,3.25,2.75,2.25,3.2,2.75
2.0,1.0,H,1.0,1.0,D,2.0,3.25,3.25,2.0,3.2,3.2
1.0,0.0,H,1.0,0.0,H,1.615,3.4,5.0,1.53,3.4,5.5
2.0,0.0,H,1.0,0.0,H,2.4,3.2,2.6,2.4,3.1,2.6
2.0,0.0,H,2.0,0.0,H,1.3,4.5,8.0,1.3,4.2,8.5
0.0,2.0,A,0.0,0.0,D,1.909,3.25,3.5,1.9,3.2,3.5
2.0,1.0,H,1.0,0.0,H,1.36,4.0,7.5,1.36,4.0,7.0
1.0,0.0,H,0.0,0.0,D,2.7,3.2,2.3,2.8,3.2,2.2
2.0,0.0,H,1.0,0.0,H,1.444,3.75,6.5,1.44,3.6,6.5
0.0,1.0,A,0.0,1.0,A,4.5,3.4,1.66,4.2,3.25,1.72
2.0,0.0,H,1.0,0.0,H,4.0,3.25,1.8,3.75,3.3,1.8
