FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
2,2,D,0,1,A,1.4,3.75,7.5,1.45,4.0,6.4,1.35,4.0,7.0,1.4,3.75,7.0,1.44,3.75,6.5,1.44,3.6,6.5
2,1,H,0,1,A,2.25,3.25,2.75,2.15,3.25,3.1,2.1,3.1,3.0,2.1,3.2,3.0,2.25,3.2,2.8,2.25,3.2,2.75
2,1,H,0,0,D,2.7,3.2,2.3,2.8,3.3,2.3,3.0,3.1,2.1,2.75,3.2,2.25,2.8,3.2,2.25,2.62,3.1,2.37
1,3,A,1,0,H,2.2,3.25,2.8,2.15,3.25,3.1,2.1,3.1,3.0,2.1,3.4,2.88,2.1,3.25,3.0,2.1,3.2,3.0
1,1,D,0,0,D,1.57,3.4,5.5,1.6,3.5,5.25,1.6,3.4,4.6,1.533,3.5,5.5,1.57,3.4,5.5,1.5,3.4,6.0
2,2,D,1,1,D,2.3,3.2,2.7,2.3,3.3,2.75,2.2,3.1,2.8,2.375,3.2,2.6,2.3,3.2,2.7,2.3,3.2,2.62
4,2,H,3,2,H,2.1,3.25,3.0,2.1,3.3,3.1,2.3,3.0,2.7,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.2,3.0
1,4,A,1,2,A,1.8,3.25,4.0,1.85,3.35,3.85,1.9,3.1,3.5,1.8,3.25,3.75,1.75,3.3,4.2,1.83,3.3,3.6
0,0,D,0,0,D,1.53,3.5,5.5,1.5,3.65,6.25,1.5,3.7,5.0,1.5,3.4,6.0,1.44,3.75,6.5,1.5,3.4,6.0
1,1,D,0,0,D,2.5,3.2,2.5,2.5,3.25,2.55,2.3,3.0,2.7,2.4,3.25,2.5,2.4,3.2,2.6,2.5,3.1,2.5
4,1,H,1,1,D,1.9,3.25,3.5,1.85,3.35,3.85,1.85,3.1,3.6,1.8,3.25,3.75,1.8,3.25,4.0,1.83,3.3,3.6
