FTHG,FTAG,FTR,HTHG,HTAG,HR,B365H,B365D,B365A,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA
4.0,0.0,H,3.0,0.0,0.0,1.17,7.0,19.0,1.15,6.5,15.0,1.17,6.5,19.0,1.17,7.0,19.0
3.0,3.0,D,3.0,2.0,1.0,2.88,3.25,2.5,2.7,3.2,2.5,2.8,3.1,2.6,2.8,3.25,2.6
2.0,2.0,D,0.0,0.0,0.0,1.91,3.4,4.2,1.9,3.3,3.9,1.95,3.3,4.0,1.91,3.4,4.33
3.0,0.0,H,1.0,0.0,0.0,1.4,4.5,9.0,1.35,4.5,8.5,1.4,4.2,9.0,1.4,4.4,9.0
1.0,0.0,H,0.0,0.0,0.0,6.0,3.75,1.62,5.2,3.8,1.6,6.0,3.4,1.67,6.0,3.8,1.62
0.0,2.0,A,0.0,1.0,0.0,2.25,3.2,3.4,2.2,3.2,3.2,2.3,3.2,3.2,2.3,3.25,3.25
1.0,0.0,H,0.0,0.0,0.0,2.1,3.4,3.5,2.0,3.3,3.6,2.15,3.2,3.5,2.1,3.25,3.5
9.0,1.0,H,1.0,0.0,0.0,1.44,4.33,8.0,1.5,3.9,6.5,1.44,4.0,8.0,1.4,4.33,7.5
3.0,0.0,H,1.0,0.0,0.0,2.1,3.3,3.6,2.2,3.2,3.2,2.1,3.25,3.6,2.1,3.3,3.6
3.0,2.0,H,3.0,0.0,0.0,3.5,3.3,2.15,3.1,3.3,2.2,3.6,3.25,2.1,3.5,3.3,2.1
1.0,1.0,D,1.0,0.0,0.0,2.5,3.25,2.88,2.6,3.2,2.6,2.5,3.3,2.8,2.4,3.3,2.75
0.0,0.0,D,0.0,0.0,0.0,1.91,3.4,4.2,1.95,3.3,3.8,1.91,3.3,4.2,1.85,3.4,4.0
1.0,1.0,D,0.0,1.0,0.0,1.91,3.5,4.2,1.9,3.3,3.9,1.91,3.4,4.0,1.8,3.4,4.33
1.0,1.0,D,1.0,0.0,0.0,1.29,5.5,11.0,1.3,5.0,9.0,1.25,5.5,12.0,1.25,5.5,11.0
1.0,4.0,A,1.0,1.0,0.0,10.0,4.5,1.36,7.5,4.3,1.42,9.0,4.6,1.36,8.0,4.5,1.36
5.0,3.0,H,3.0,0.0,0.0,1.8,3.6,4.5,1.8,3.4,4.3,1.8,3.5,4.5,1.8,3.4,4.33
1.0,0.0,H,0.0,0.0,0.0,2.4,3.4,2.9,2.5,3.2,2.7,2.4,3.3,2.9,2.4,3.25,2.75
0.0,3.0,A,0.0,2.0,0.0,2.7,3.2,2.7,2.6,3.2,2.6,2.62,3.2,2.7,2.5,3.25,2.75
0.0,2.0,A,0.0,1.0,0.0,3.5,3.4,2.1,3.35,3.3,2.1,3.6,3.25,2.1,3.3,3.25,2.1
0.0,1.0,A,0.0,1.0,0.0,2.4,3.2,3.1,2.5,3.2,2.7,2.3,3.2,3.2,2.3,3.2,3.0
2.0,0.0,H,1.0,0.0,0.0,1.29,5.0,13.0,1.27,4.9,11.0,1.25,5.5,12.0,1.29,5.5,10.5
